cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank2_best,119,1,converged,3,0.00030499781192886994,7.503087639069975e-09,0.010935764026245406,0.000160732757499451
rank2_best,120,1,converged,2,6.846813008920264e-05,5.302774871538453e-09,0.010618595332046081,3.5939902363020584e-05
rank2_best,121,1,converged,2,0.0002018602364735185,3.3951504788254195e-09,0.011091813918669289,0.00010074849308569813
rank2_best,122,1,converged,2,0.00037495824765110643,8.214176888922483e-09,0.011945927499129082,0.00017529890547150057
rank2_best,123,1,converged,2,0.00011835651119045591,2.946686000081109e-09,0.009204008775121682,5.8958274152216655e-05
rank2_best,124,1,converged,1,2.4146651224607838e-05,1.690502964519036e-08,0.005622681802055321,1.0936222595137348e-05
rank2_best,125,1,converged,2,5.021739220151169e-05,1.3006886892108623e-10,0.009480147203760803,2.650660880627958e-05
rank2_best,126,1,converged,2,9.399855965030952e-05,7.269806175522244e-10,0.0076685673546884854,4.746673123897614e-05
rank2_best,127,1,converged,2,0.00012681849614752338,1.4589909567686821e-08,0.010632998468276566,6.542031860236798e-05
rank2_best,128,1,converged,2,7.633769187469875e-05,1.2269151743154837e-08,0.010621008011132657,3.776404144841918e-05
rank2_best,129,1,converged,2,3.9473315641000804e-05,6.49962028851535e-10,0.00958200717266782,2.013380274740699e-05
rank2_best,130,1,converged,2,0.00015444637507791657,1.6874589519385105e-09,0.010743570427980052,7.778888754582181e-05
rank2_best,131,1,converged,3,0.0003949322198419651,1.2199656070643398e-08,0.011662942144031057,0.00020433633354309123
rank2_best,132,1,converged,2,7.61153826804288e-05,8.06481649796864e-09,0.009121564732387306,3.480272389139964e-05
rank2_best,133,1,converged,3,0.0001955862263914327,5.208367143319881e-10,0.011432366606944484,8.858703239397257e-05
rank2_best,134,1,converged,2,0.00011249245797963984,5.690830823464661e-09,0.011242042383834626,5.9774272432616404e-05
rank2_best,135,1,converged,2,0.00010179104702358274,7.077099988704494e-09,0.010326917630083856,4.989755878091418e-05
rank2_best,136,1,converged,2,3.5857287820318556e-05,9.888257591210716e-11,0.005851540557604415,1.7570920554356785e-05
rank2_best,137,1,converged,2,0.000272257132105506,1.0081581578007881e-08,0.011289492257697535,0.00013371879111628236
rank2_best,138,1,converged,2,0.00011456975743152811,2.363633529229616e-09,0.011489206020496754,5.178055532073534e-05
rank2_best,139,1,converged,3,0.00021583735065452348,3.7025572318276893e-10,0.011800358590573753,9.944761875212954e-05
rank2_best,140,1,converged,2,5.992133904827782e-05,1.2957475390469014e-09,0.009933784516080893,3.122991432990212e-05
rank2_best,141,1,converged,2,7.683088903730303e-05,5.094828945949826e-09,0.011288822745322094,3.5295303348181637e-05
rank2_best,142,1,converged,2,0.00014217303042233858,2.977783658847945e-09,0.010333642324072866,6.909586544716095e-05
rank2_best,143,1,converged,2,0.00019842687718914988,1.1084070004985564e-09,0.010724751417891884,9.622948913879886e-05
rank2_best,144,1,converged,2,0.0002805330425402327,5.64791462628773e-09,0.010940156199269526,0.00014244462508882955
rank2_best,145,1,converged,2,9.326354872692173e-05,3.7596012375390876e-10,0.011362631596212319,4.75796205756969e-05
rank2_best,146,1,converged,2,5.075420726753665e-05,4.580544421539352e-09,0.007721435679225482,2.49189113176864e-05
rank2_best,147,1,converged,3,0.00016028060642864892,5.347868469986522e-10,0.011674824063982651,7.5605821232709e-05
rank2_best,148,1,converged,3,0.0001225846536860345,5.379024061826125e-10,0.010758611061215971,6.023277186321694e-05
rank2_best,149,1,converged,2,4.745837409920475e-05,8.442294820308382e-10,0.008544250864747175,2.2204603370225673e-05
rank2_best,150,1,converged,2,8.037284233676258e-05,9.71874471089028e-10,0.01186134909717118,3.710168684418235e-05
rank2_best,151,1,converged,2,0.00011991701503690439,1.1196208130467046e-08,0.009970780746547387,5.4522135458766787e-05
rank2_best,152,1,converged,2,0.00011953346762477573,2.1711533420471073e-09,0.009198074404488743,6.05063561223546e-05
rank2_best,153,1,converged,3,0.00036018210453041364,6.86961944896432e-09,0.009208053798817782,0.00018570617884725778
